image_name,operation,setup_time_ms,distribution_time_ms,collection_time_ms,total_time_ms,timestamp
test10(3840-2160),edge_detection,624.373,1296.481,3736.704,5657.559,2025-07-29_21-45-09
test10(3840-2160),blur,409.815,977.467,3457.383,4844.665,2025-07-29_21-45-09
test10(3840-2160),sharpen,445.912,1386.346,3366.343,5198.602,2025-07-29_21-45-09
test1(100x100)-fotor-2025072920123,edge_detection,86.813,39.864,67.873,194.550,2025-07-29_21-45-09
test1(100x100)-fotor-2025072920123,blur,106.823,55.788,53.310,215.921,2025-07-29_21-45-09
test1(100x100)-fotor-2025072920123,sharpen,150.983,70.856,124.366,346.206,2025-07-29_21-45-09
test2(250x250)-fotor-20250729201131,edge_detection,81.438,47.130,133.671,262.239,2025-07-29_21-45-09
test2(250x250)-fotor-20250729201131,blur,72.524,51.901,142.132,266.557,2025-07-29_21-45-09
test2(250x250)-fotor-20250729201131,sharpen,84.681,78.402,125.256,288.340,2025-07-29_21-45-09
test3(500-500)-fotor-20250729201053,edge_detection,96.816,104.883,411.597,613.297,2025-07-29_21-45-09
test3(500-500)-fotor-20250729201053,blur,149.548,168.047,414.144,731.740,2025-07-29_21-45-09
test3(500-500)-fotor-20250729201053,sharpen,99.966,84.340,324.034,508.341,2025-07-29_21-45-09
test4(640-480)-fotor-20250729201020,edge_detection,127.814,101.160,354.730,583.705,2025-07-29_21-45-09
test4(640-480)-fotor-20250729201020,blur,101.779,156.755,408.628,667.161,2025-07-29_21-45-09
test4(640-480)-fotor-20250729201020,sharpen,124.212,104.160,365.144,593.516,2025-07-29_21-45-09
test5(800x800)-fotor-2025072920941,edge_detection,146.444,111.281,423.387,681.112,2025-07-29_21-45-09
test5(800x800)-fotor-2025072920941,blur,111.719,143.616,376.310,631.647,2025-07-29_21-45-09
test5(800x800)-fotor-2025072920941,sharpen,146.192,109.682,433.060,688.935,2025-07-29_21-45-09
test6(1280x720)-fotor-202507292090,edge_detection,128.885,159.350,613.277,901.513,2025-07-29_21-45-09
test6(1280x720)-fotor-202507292090,blur,126.850,204.672,477.016,808.538,2025-07-29_21-45-09
test6(1280x720)-fotor-202507292090,sharpen,162.476,191.947,525.509,879.932,2025-07-29_21-45-09
test7(1600x900)-fotor-2025072920749,edge_detection,180.109,197.870,706.329,1084.309,2025-07-29_21-45-09
test7(1600x900)-fotor-2025072920749,blur,161.518,267.020,638.572,1067.110,2025-07-29_21-45-09
test7(1600x900)-fotor-2025072920749,sharpen,142.735,153.800,616.106,912.642,2025-07-29_21-45-09
test8(1920x1080)-fotor-202507292059,edge_detection,195.976,241.704,674.989,1112.669,2025-07-29_21-45-09
test8(1920x1080)-fotor-202507292059,blur,171.019,335.082,679.765,1185.867,2025-07-29_21-45-09
test8(1920x1080)-fotor-202507292059,sharpen,227.818,268.433,710.421,1206.672,2025-07-29_21-45-09
test9(2560x1440)-fotor,edge_detection,206.509,309.976,1125.630,1642.116,2025-07-29_21-45-09
test9(2560x1440)-fotor,blur,269.551,366.786,1065.211,1701.548,2025-07-29_21-45-09
test9(2560x1440)-fotor,sharpen,219.972,519.691,1299.496,2039.161,2025-07-29_21-45-09
test10(3840-2160),edge_detection,419.775,1128.354,3517.456,5065.585,2025-07-29_21-48-21
test10(3840-2160),blur,415.502,1325.257,3933.580,5674.341,2025-07-29_21-48-21
test10(3840-2160),sharpen,469.350,1241.194,4100.805,5811.350,2025-07-29_21-48-21
test1(100x100)-fotor-2025072920123,edge_detection,108.187,47.488,115.788,271.464,2025-07-29_21-48-21
test1(100x100)-fotor-2025072920123,blur,155.729,58.884,174.520,389.134,2025-07-29_21-48-21
test1(100x100)-fotor-2025072920123,sharpen,115.424,64.427,94.455,274.306,2025-07-29_21-48-21
