image_name,operation,mode,execution_time_ms,image_width,image_height,timestamp
test10(3840-2160),edge_detection,sequential,9177.005,3876,3999,2025-07-29_21-45-09
test10(3840-2160),edge_detection,distributed,5657.559,3876,3999,2025-07-29_21-45-09
test10(3840-2160),blur,sequential,9523.981,3876,3999,2025-07-29_21-45-09
test10(3840-2160),blur,distributed,4844.665,3876,3999,2025-07-29_21-45-09
test10(3840-2160),sharpen,sequential,9189.467,3876,3999,2025-07-29_21-45-09
test10(3840-2160),sharpen,distributed,5198.602,3876,3999,2025-07-29_21-45-09
test1(100x100)-fotor-2025072920123,edge_detection,sequential,55.316,100,100,2025-07-29_21-45-09
test1(100x100)-fotor-2025072920123,edge_detection,distributed,194.550,100,100,2025-07-29_21-45-09
test1(100x100)-fotor-2025072920123,blur,sequential,46.941,100,100,2025-07-29_21-45-09
test1(100x100)-fotor-2025072920123,blur,distributed,215.921,100,100,2025-07-29_21-45-09
test1(100x100)-fotor-2025072920123,sharpen,sequential,45.030,100,100,2025-07-29_21-45-09
test1(100x100)-fotor-2025072920123,sharpen,distributed,346.206,100,100,2025-07-29_21-45-09
test2(250x250)-fotor-20250729201131,edge_detection,sequential,150.146,250,250,2025-07-29_21-45-09
test2(250x250)-fotor-20250729201131,edge_detection,distributed,262.239,250,250,2025-07-29_21-45-09
test2(250x250)-fotor-20250729201131,blur,sequential,93.676,250,250,2025-07-29_21-45-09
test2(250x250)-fotor-20250729201131,blur,distributed,266.557,250,250,2025-07-29_21-45-09
test2(250x250)-fotor-20250729201131,sharpen,sequential,98.608,250,250,2025-07-29_21-45-09
test2(250x250)-fotor-20250729201131,sharpen,distributed,288.340,250,250,2025-07-29_21-45-09
test3(500-500)-fotor-20250729201053,edge_detection,sequential,222.398,500,500,2025-07-29_21-45-09
test3(500-500)-fotor-20250729201053,edge_detection,distributed,613.297,500,500,2025-07-29_21-45-09
test3(500-500)-fotor-20250729201053,blur,sequential,199.290,500,500,2025-07-29_21-45-09
test3(500-500)-fotor-20250729201053,blur,distributed,731.740,500,500,2025-07-29_21-45-09
test3(500-500)-fotor-20250729201053,sharpen,sequential,398.230,500,500,2025-07-29_21-45-09
test3(500-500)-fotor-20250729201053,sharpen,distributed,508.341,500,500,2025-07-29_21-45-09
test4(640-480)-fotor-20250729201020,edge_detection,sequential,394.851,640,480,2025-07-29_21-45-09
test4(640-480)-fotor-20250729201020,edge_detection,distributed,583.705,640,480,2025-07-29_21-45-09
test4(640-480)-fotor-20250729201020,blur,sequential,341.355,640,480,2025-07-29_21-45-09
test4(640-480)-fotor-20250729201020,blur,distributed,667.161,640,480,2025-07-29_21-45-09
test4(640-480)-fotor-20250729201020,sharpen,sequential,318.464,640,480,2025-07-29_21-45-09
test4(640-480)-fotor-20250729201020,sharpen,distributed,593.516,640,480,2025-07-29_21-45-09
test5(800x800)-fotor-2025072920941,edge_detection,sequential,805.782,800,800,2025-07-29_21-45-09
test5(800x800)-fotor-2025072920941,edge_detection,distributed,681.112,800,800,2025-07-29_21-45-09
test5(800x800)-fotor-2025072920941,blur,sequential,533.072,800,800,2025-07-29_21-45-09
test5(800x800)-fotor-2025072920941,blur,distributed,631.647,800,800,2025-07-29_21-45-09
test5(800x800)-fotor-2025072920941,sharpen,sequential,607.151,800,800,2025-07-29_21-45-09
test5(800x800)-fotor-2025072920941,sharpen,distributed,688.935,800,800,2025-07-29_21-45-09
test6(1280x720)-fotor-202507292090,edge_detection,sequential,663.655,1280,720,2025-07-29_21-45-09
test6(1280x720)-fotor-202507292090,edge_detection,distributed,901.513,1280,720,2025-07-29_21-45-09
test6(1280x720)-fotor-202507292090,blur,sequential,880.045,1280,720,2025-07-29_21-45-09
